date,symbol,open,high,low,close,volume
2019-01-01,AAPL,150.0,151.02,149.89,150.93,29620536.0
2019-01-01,MSFT,100.0,101.84,99.99,101.82,12847532.0
2019-01-02,AAPL,150.93,153.22,145.91,148.05,23911723.0
2019-01-02,MSFT,101.82,101.93,100.18,100.28,8898649.0
2019-01-03,AAPL,148.05,151.04,147.55,150.23,27932617.0
2019-01-03,MSFT,100.28,101.06,100.0,100.93,28453803.0
2019-01-04,AAPL,150.23,154.22,149.77,152.99,19433475.0
2019-01-04,MSFT,100.93,104.99,100.52,104.65,7288966.0
2019-01-07,AAPL,152.99,155.15,146.11,147.51,28225611.0
2019-01-07,MSFT,104.65,105.38,104.14,105.03,14085243.0
2019-01-08,AAPL,147.51,147.76,143.87,143.99,22992100.0
2019-01-08,MSFT,105.03,105.39,103.58,103.79,27180298.0
2019-01-09,AAPL,143.99,145.32,143.48,144.39,23564128.0
2019-01-09,MSFT,103.79,105.1,103.23,104.5,28896141.0
2019-01-10,AAPL,144.39,145.12,142.94,143.59,9444652.0
2019-01-10,MSFT,104.5,104.54,103.68,103.76,14417541.0
2019-01-11,AAPL,143.59,144.16,142.93,143.61,19172135.0
2019-01-11,MSFT,103.76,103.79,101.51,101.55,16635467.0
2019-01-14,AAPL,143.61,143.92,141.22,141.37,23284847.0
2019-01-14,MSFT,101.55,102.95,101.24,102.71,18083715.0
2019-01-15,AAPL,141.37,144.46,140.95,143.8,24024998.0
2019-01-15,MSFT,102.71,104.76,102.61,104.57,25555371.0
2019-01-16,AAPL,143.8,148.01,142.12,145.99,28939810.0
2019-01-16,MSFT,104.57,104.93,103.8,104.1,24217203.0
2019-01-17,AAPL,145.99,146.37,145.88,146.23,13173625.0
2019-01-17,MSFT,104.1,104.25,103.21,103.52,18102805.0
2019-01-18,AAPL,146.23,149.89,145.97,149.44,12566583.0
2019-01-18,MSFT,103.52,104.13,101.81,102.0,14287460.0
2019-01-21,AAPL,149.44,152.7,148.9,150.83,29236997.0
2019-01-21,MSFT,102.0,102.75,101.57,101.79,14309496.0
2019-01-22,AAPL,150.83,151.37,147.84,148.47,29654033.0
2019-01-22,MSFT,101.79,102.42,100.02,100.93,21227566.0
2019-01-23,AAPL,148.47,150.28,147.85,149.57,9497018.0
2019-01-23,MSFT,100.93,100.98,99.26,99.37,25881771.0
2019-01-24,AAPL,149.57,149.9,146.17,146.94,14459400.0
2019-01-24,MSFT,99.37,103.31,99.1,102.41,6916996.0
2019-01-25,AAPL,146.94,149.49,146.91,149.46,28702248.0
2019-01-25,MSFT,102.41,103.25,102.33,103.2,24221023.0
2019-01-28,AAPL,149.46,150.33,147.21,149.38,9993087.0
2019-01-28,MSFT,103.2,104.21,103.11,104.17,17022641.0
2019-01-29,AAPL,149.38,149.62,148.75,148.93,24579113.0
2019-01-29,MSFT,104.17,106.09,103.93,105.67,8630052.0
